	US82800149_251976012849	US82800149_251976012848	US82800149_251976012847	US82800149_251976012843	US82800149_251976012845	US82800149_251976012844	US82800149_251976012850	US82800149_251976012851	US82800149_251976012852	US82800149_251976012853	US82800149_251976012932	US82800149_251976012931	US82800149_251976012930	US82800149_251976012841	US82800149_251976012846	US82800149_251976012929
ASS1	-1.05383333333333	-1.2151666666666701	-1.64966666666667	1.11483333333333	-0.51566666666666705	-1.53433333333333	-2.55533333333333	-0.6015	-1.33183333333333	-0.572333333333333	-1.44483333333333	0.155333333333333	-0.1445	-0.807	-2.1361666666666697	-0.659833333333333
NCBP1	0.0291666666666667	-1.5961666666666698	-0.965166666666667	-0.5485	-0.88633333333333297	-0.959166666666667	-0.563166666666667	-0.099	-0.7625	-0.457333333333333	-0.307666666666667	-0.328833333333333	-0.701	-1.17433333333333	-0.132833333333333	-0.0966666666666667
HMG1L1	-1.17625	-1.77275	-1.271	-1.9835	-0.82050000000000001	-1.6085	-1.20225	-1.759	-0.79825	-1.1145	-1	-1.10175	-0.826	-0.568	-1.3267500000000001	-1.25925
ZNF708	-1.31283333333333	-1.2873333333333301	-1.1485	-1.5205	-1.0753333333333299	-1.55333333333333	0.584	-1.0074	-0.915166666666667	-0.959833333333333	-0.26	-1.78666666666667	-1.6535	-1.00733333333333	-0.4385	-0.782333333333333
RBM14	-0.0445	-0.68125000000000002	-1.07225	-0.93375	-0.2465	0.19425	-0.7205	0.19925	0.918	-0.71625	-1.43	0.0165	-1.10825	-0.29025	-0.60224999999999995	-0.97225
CBX3	-0.40825	-0.91599999999999993	-0.306875	0.909125	-0.18512500000000001	-0.22525	0.24925	-0.57225	-1.166	-0.4505	1.57075	-0.168875	1.180875	-0.844625	-0.0050000000000000504	0.90475
C6orf142	0.7705	-0.00025000000000000001	0.347	2.911	2.6022500000000002	3.2405	0.177666666666667	1.07425	1.6855	5.7815	0.72	1.222	0.4035	-1.45325	-0.74250000000000005	0.3905
ZNF703	-0.0733333333333333	-0.12466666666666699	0.137333333333333	0.0648333333333333	0.51549999999999996	-0.304333333333333	0.220833333333333	0.32	0.170666666666667	0.205666666666667	1.8432	-0.5962	-0.20875	-0.4315	-0.0075000000000000301	-0.000333333333333343
ZNF702	3.201	-0.69966666666666699	3.13333333333333	3.68733333333333	0.68049999999999999	1.53083333333333	2.9795	1.01366666666667	0.7765	1.42966666666667	2.597	1.22166666666667	-0.5905	1.80333333333333	1.325	2.7005
SPR	2.06366666666667	1.2849999999999999	1.266	1.7295	0.96799999999999997	1.22883333333333	0.0738333333333333	1.9725	2.43833333333333	1.53316666666667	1.29833333333333	2.96533333333333	1.57483333333333	0.959166666666667	1.1303333333333301	0.742166666666667
UNQ9438	1.41966666666667	0.32950000000000002	1.46633333333333	0.685	0.89583333333333304	0.064	0.176	0.657166666666667	0.826333333333333	0.444	0.4054	0.773166666666667	0.243166666666667	0.560833333333333	0.46533333333333293	0.125
ZNF707	-0.364	-0.75700000000000001	-0.924166666666667	-1.0595	-0.46650000000000003	-0.630333333333333	-0.198166666666667	-0.776833333333333	-0.151166666666667	-0.248333333333333	-0.27975	-0.5358	-1.38033333333333	-0.170833333333333	-0.42200000000000004	-0.241333333333333
ZNF706	0.6368	-0.35560000000000003	0.2734	0.0587	-0.055399999999999998	-0.1556	0.3231	-0.0832000000000001	-0.1157	-0.0498	-0.2411	0.7648	-0.2542	-0.2996	0.65529999999999999	0.0931
ZNF704	-1.47816666666667	-1.0811666666666699	-2.07566666666667	-1.18416666666667	-0.19783333333333303	-1.06333333333333	-1.98933333333333	-1.6075	-0.457166666666667	-1.68283333333333	0.12675	-0.2876	-1.74625	-1.919	-2.0113333333333303	-0.5706
ZC3H10	0.775	0.25180000000000002	0.638	0.7413	0.61409999999999998	0.7983	0.2492	0.9886	1.1173	0.8303	1.0939	0.1482	-0.531666666666667	0.9923	0.76580000000000004	-0.3834
ZC3H13	-0.285916666666667	-1.0764166666666699	-0.789666666666667	-0.734833333333333	-0.22666666666666699	-0.54425	-0.24175	-0.5905	0.376583333333333	-0.801	-0.625083333333333	0.1915	0.341083333333333	-0.324416666666667	-0.498	0.0103333333333333
ZC3H15	1.39025	-0.41499999999999998	-0.2915	0.35175	-0.65525	-0.46075	0.727	-0.45575	-1.09525	0.101	0.43325	0.303	-0.5155	0.2745	-0.23574999999999999	0.38875
ZC3H14	-1.492375	-1.356125	-0.4855	-0.359	-0.41612500000000002	-0.33475	-0.051375	-0.828	-1.101	-1.156	-0.777125	-0.994125	-1.31928571428571	-0.114875	-1.151875	-0.672625
SPN	-0.603625	-0.18012500000000001	-0.573625	-1.189875	-0.327125	-1.083375	-1.12325	-0.198714285714286	-0.820375	-0.228125	-1.157625	-0.279875	-0.7045	-1.447625	-0.70225000000000004	-1.1745
RNF111	2.006	-0.78249999999999997	0.8095	1.522	0.19950000000000001	1.02425	1.7145	1.3745	0.406	1.123	1.32775	1.17075	0.72975	1.1665	0.95774999999999999	1.70775
NACAP1	-0.22775	0.87400000000000011	0.3195	0.72475	-0.090999999999999998	0.21625	1.1635	0.53775	0.00600000000000001	0.25575	1.2115	0.494	1.02625	0.31725	1.0940000000000001	0.59075
CEACAM5	-1.6335	-2.199125	-2.44125	-2.0725	-1.3376250000000001	-2.83975	-1.47833333333333	-1.22757142857143	-2.37775	-2.708	-2.47471428571429	-1.524375	-1.06814285714286	-2.616875	-2.5918749999999999	-2.15357142857143
GRIN1	-0.0825	-0.218428571428571	-0.497785714285714	-0.603857142857143	0.66128571428571392	-0.197357142857143	-0.301	-0.0447857142857143	0.0135	-0.0313571428571428	1.39007142857143	-0.500214285714286	-0.789846153846154	-0.946571428571429	-0.060999999999999999	-0.526461538461539
C16orf14	1.60975	-0.1075	-1.17325	2.10175	0.38024999999999998	0.08725	-0.49775	1.9395	0.63	1.149	-1.4645	0.97525	-0.25725	-0.49375	-1.3392500000000001	-0.13375
FOXQ1	-0.276875	0.18825	-1.342	-1.14375	0.52725	0.182625	0.61125	-0.0845	-0.49125	-1.65825	0.344625	0.042375	-0.463	-1.234625	-0.13262499999999999	0.163
ZNF533	2.21421428571429	4.2839999999999998	4.5235	4.41685714285714	2.2516428571428602	4.47178571428571	-1.12371428571429	3.77292857142857	3.79057142857143	4.15578571428571	3.62961538461538	5.30585714285714	4.01225	2.78607142857143	2.1215714285714298	4.48742857142857
TCOF1	-1.58216666666667	-1.0325	-1.87233333333333	-1.76816666666667	-0.66449999999999998	-1.157	-1.6635	-1.331	0.700833333333333	-1.55916666666667	-1.81583333333333	-1.09183333333333	-0.778833333333333	-1.115	-0.95383333333333298	-2.27416666666667
CEACAM7	0.557090909090909	0.69608333333333294	0.427916666666667	0.3111	-0.34466666666666701	-0.474	0.387181818181818	-0.0365	-0.258545454545455	-0.0234999999999999	0.217166666666667	-0.5415	-1.15828571428571	-0.470909090909091	0.17708333333333301	-1.39733333333333
NUP98	-0.838583333333333	-0.56441666666666701	-0.620333333333333	-0.532666666666667	-0.710666666666667	-0.638916666666667	0.258916666666667	-0.86775	-1.11341666666667	-0.497666666666667	-1.1445	-1.24141666666667	-1.54518181818182	-0.506583333333333	-0.59175	-0.82675
XPC	-1.21166666666667	-0.52249999999999996	-0.838	-0.391666666666667	0.22616666666666699	0.6775	-0.783833333333333	-0.872666666666667	-0.490833333333333	-0.377833333333333	-1.6965	-0.373333333333333	-1.2876	0.0253333333333333	-1.0431666666666699	-0.617666666666667
SP1	0.779375	-0.26774999999999999	0.017875	0.90625	0.3135	0.797375	-0.198125	0.73425	0.356125	0.363375	0.599	0.76075	-0.619625	-0.624125	1.20075	0.12625
GRINA	-0.326	-1.1645000000000001	-1.5765	0.1315	0.45650000000000002	0.6275	-0.086	0.2975	-0.605	0.817	-1.606	-0.1295	-0.232	0.1325	-1.036	-0.118
CEACAM6	-3.36	-3.3517000000000001	-4.0337	-4.3339	-3.1181000000000001	-4.8915	-2.5234	-3.3482	-3.2459	-4.5489	-2.18166666666667	-3.28911111111111	-2.85014285714286	-4.6533	0.51849999999999996	-3.97016666666667
NUP93	-1.30375	-0.441	-0.494916666666667	-0.689333333333333	-0.60716666666666697	-1.3645	-1.09125	-1.27958333333333	-1.7315	-0.965166666666667	-2.0357	-1.25511111111111	-1.17327272727273	-1.14608333333333	-1.3113333333333299	-0.929583333333333
SP5	-2.55566666666667	-2.8539999999999996	-3.4205	-4.29008333333333	-1.5000833333333301	-4.11766666666667	-3.9835	-3.66075	-3.86191666666667	-2.86225	-2.41791666666667	-2.70133333333333	-2.675	-4.35216666666667	-2.8442500000000002	-3.32890909090909
KLRA1	0.21	-1.1835	-2.705	0.1305	0.052000000000000005	1.1305	-1.467	-0.0475	-0.113	-0.713	-0.9675	0.1335	null	1.537	0.10000000000000001	-2.1875
SP7	-0.573	0.3145	-0.2765	1.2005	0.25	-1.0915	0.2565	-0.137	0.4725	0.4075	0.749	0.3085	-1.4115	-1.377	0.49700000000000005	0.1755
OR5B3	0.05	-0.4365	0.455	0.4435	0.1865	-0.013	-0.617	0.063	-0.3685	-0.0735	-0.868	-1.8405	2.489	0.35	0.39399999999999996	-0.00800000000000001
GOLIM4	-1.76166666666667	0.44350000000000001	-0.615	-0.815666666666667	-0.18133333333333301	-0.4305	-0.660166666666667	-0.0691666666666667	0.312666666666667	-1.01216666666667	-0.881833333333333	0.656666666666667	1.26233333333333	-0.869166666666667	0.18116666666666698	0.298833333333333
VIL2	0.531833333333333	0.57841666666666702	1.2895	1.85083333333333	1.5805	2.06708333333333	0.941666666666667	2.0565	2.37525	1.88875	1.90258333333333	2.49108333333333	2.86825	1.68883333333333	1.8544166666666699	1.50708333333333
OPA3	0.051625	0.15362500000000001	0.132125	-0.263	0.67225000000000001	-0.002125	-0.1785	0.428625	0.589125	0.3605	0.000999999999999973	0.0534285714285714	0.308875	0.2195	0.26650000000000001	-0.7675
OPA1	-1.005	-0.421875	-0.517875	0.08375	-0.67862500000000003	-0.5145	0.297875	0.627625	-0.739125	-0.83	-0.704375	0.0400000000000001	0.92175	-0.731625	-0.295375	0.3705
RAB40C	-0.4485	-0.58483333333333298	-0.137333333333333	-0.0994166666666667	-0.072583333333333305	0.133416666666667	0.174	-1.056	0.111416666666667	0.155083333333333	-1.47072727272727	-1.2097	0.5096	-0.388083333333333	-0.61166666666666702	-0.44125
RAB40B	0.602	1.5940000000000001	2.4925	0.923	0.63800000000000001	0.954	2.0195	0.285	0.574	0.13	0.7495	0.348	-1.137	0.0195	1.266	1.1595
RAB40A	-1.187	0.42399999999999999	-0.7885	-1.078	-0.22750000000000001	0.5035	-0.6305	-0.097	0.4495	-1.2915	0.232	0.5205	-0.119	0.9385	-0.14199999999999999	-0.08
CBX1	-1.8734	-1.3571	-2.0863	-2.6666	-0.93810000000000004	-1.6073	-1.7601	-1.5584	-0.3519	-2.7155	-1.4483	-1.3643	-0.8761	-1.9213	-1.5127999999999999	-2.3114
FBL	-1.89916666666667	-0.78916666666666702	-2.37983333333333	-1.802	-1.1323333333333301	-1.122	-0.678833333333333	-2.10666666666667	-1.3025	-1.6955	-2.712	-2.339	-1.40733333333333	-0.728833333333333	-1.5708333333333302	-2.1525
MGC39606	0.77425	1.5905	2.35575	3.409	1.0365	1.1185	-0.091	1.5645	1.77775	2.66175	0.65575	1.8265	2.184	2.306	1.6735	1.638
ARTS-1	2.5236	1.5631999999999999	0.1303	1.312	-0.48959999999999998	-0.0909	1.4879	-0.3499	-0.0128	1.0262	0.7136	-0.109888888888889	0.298666666666667	1.3416	0.99319999999999997	1.1666
GTSE1	-2.33033333333333	-2.4035000000000002	-2.62383333333333	-2.34483333333333	-1.0611666666666699	-2.79333333333333	-2.22283333333333	-2.64266666666667	-2.589	-2.27133333333333	-3.68483333333333	-2.05966666666667	-4.6066	-2.315	-2.48633333333333	-2.94916666666667
ARFRP1	-1.903	-0.45033333333333292	-0.268833333333333	-0.671	-0.35266666666666707	-0.299	-0.234333333333333	-1.508	-0.969	-0.794833333333333	-1.2295	-1.94783333333333	-1.54266666666667	-0.707166666666667	-1.0033333333333301	-1.478
OVCH1	0.261	0.28583333333333305	-0.138666666666667	-0.111	-0.45716666666666711	0.2845	0.159666666666667	-0.071	0.1752	0.0305	0.574166666666667	-0.424166666666667	1.23675	-0.47925	-0.10099999999999999	0.149666666666667
B4GALNT1	-0.0411666666666667	-0.010500000000000001	-1.73533333333333	-1.36283333333333	-0.98216666666666697	-1.64716666666667	-1.2462	-1.70566666666667	-1.48783333333333	-1.01116666666667	-0.73975	-1.38566666666667	-1.177	-1.8205	-1.4141666666666699	-1.5586
KIAA0831	0.884125	0.41799999999999998	0.967875	1.322125	0.56462500000000004	0.87375	0.464375	1.03175	0.992125	0.128625	1.55125	0.589625	1.22775	0.391	0.16975000000000001	1.37025
SPPL2A	0.00566666666666667	-0.78133333333333299	0.408	0.361833333333333	-0.48866666666666708	-0.436	0.989333333333333	0.182833333333333	-1.45033333333333	0.290333333333333	0.1195	-0.2945	-0.2515	-0.420166666666667	-0.55283333333333295	1.27033333333333
SPPL2B	-0.9177	-0.2109	-1.5143	-1.8281	0.96279999999999999	-0.1141	-1.4549	-0.2946	-0.1451	-0.3377	-0.4297	-0.8282	-1.4154	-0.8767	-1.4020999999999999	-1.4034
ITGA8	-1.34875	-1.2317499999999999	-0.42175	-1.9415	-0.27825	-1.914	0.42675	0.2395	-0.309	-0.2455	-0.29025	-1.11575	0.101	-2.2325	-0.67425000000000002	-0.25225
ITGA9	-0.126333333333333	-0.266666666666667	0.9472	-0.098	-0.24716666666666698	-0.0841666666666667	0.111666666666667	0.364166666666667	0.038	0.362166666666667	0.264166666666667	-3.2835	-2.028	-1.17383333333333	0.32666666666666699	0.0611666666666666
UGCG	0.049	-0.115	-0.203833333333333	0.749666666666667	0.498	0.4555	-1.6305	-1.05516666666667	-0.231166666666667	-0.0738333333333333	0.610666666666667	-0.3205	0.0311666666666667	-0.912666666666667	1.8008333333333302	0.1205
MYO3B	-0.541666666666667	0.1585	-1.27466666666667	-1.19675	-1.1252500000000001	-1.76425	0.5685	-0.46475	-0.15225	-1.17133333333333	-0.603666666666667	0.5875	1.1105	-0.007	-0.22650000000000001	0.475
ATP2A1	-0.44425	-0.27450000000000002	-0.60325	0.08025	0.14499999999999999	-0.041	-0.42275	0.311	0.09275	0.01275	1.19725	0.0156666666666667	0.304	0.14675	-0.25174999999999997	-0.77475
ATP2A2	-0.918571428571429	-0.18164285714285697	-0.356714285714286	0.0731428571428571	0.48378571428571393	1.26992857142857	-0.194285714285714	0.136571428571429	-0.109	-0.201785714285714	0.604857142857143	0.448214285714286	0.495	0.336857142857143	0.20514285714285699	0.343642857142857
ATP2A3	-1.9784	-1.5527	-1.7132	-0.6147	-1.0708	-1.2604	-1.4992	-1.1652	-1.3123	-0.823	-1.623875	-0.61	-1.469125	-2.1666	-1.7189000000000001	-2.12722222222222
ITGA1	-0.8282	1.0293000000000001	0.4654	-1.1428	-1.1134999999999999	-0.8287	0.138	-0.7068	-0.4686	-0.3763	-0.1179	-1.4624	-0.6723	-1.0951	-0.70140000000000002	0.3067
ITGA2	-2.57425	-0.956666666666667	-1.32775	-1.89941666666667	-1.2933333333333301	-0.541583333333333	-1.19475	-1.6525	-1.56083333333333	-2.93333333333333	-1.0655	-1.4739	-1.69009090909091	-2.22433333333333	-0.53008333333333291	-1.51309090909091
ITGA3	0.617	0.75275000000000003	-0.046125	0.423375	1.1917500000000001	1.987	-0.484625	1.734375	2.043	0.770625	-0.380625	1.1565	0.199875	0.6045	1.4728749999999999	0.398375
SUGT1L1	1.1235	0.28800000000000003	1.684	-0.08	-0.056750000000000002	-0.0285	1.6495	-0.12725	0.55725	0.38275	-0.2925	1.545	1.117	1.43925	0.72924999999999995	-0.8925
RIT2	-0.0725	-0.38874999999999998	0.629	-0.33175	0.57174999999999998	-0.337	-0.351	0.88	-0.44625	0.028	0.606	-1.28366666666667	-0.352	-0.0725	-0.251	0.12375
RIT1	2.41816666666667	0.67783333333333295	2.661	2.31041666666667	1.04575	1.43208333333333	1.01466666666667	1.32458333333333	1.238	2.32866666666667	3.51508333333333	1.54191666666667	0.380833333333333	1.227	1.9485833333333302	2.345
ITGA7	0.1189	0.62980000000000003	0.6099	1.6809	1.1273	1.9853	-0.605444444444445	1.2594	1.3144	0.1754	0.458333333333333	1.7392	0.777444444444444	2.0753	0.57869999999999999	1.58755555555556
TRHR	0.373875	0.19712499999999999	0.49825	-0.0441428571428572	0.15687499999999999	0.2745	-0.048125	0.019	0.29475	0.214	-0.603571428571429	-0.615666666666667	0.6502	-0.03775	0.39842857142857102	-0.486285714285714
DENND4A	-0.1945	-1.30725	-0.600125	-0.4795	-0.70525000000000004	-0.544375	0.11675	0.0688571428571429	-0.467625	0.066	0.066	-0.30325	-0.773857142857143	0.400625	-0.64249999999999996	-0.365125
DENND4B	-0.69575	-2.0380000000000003	-2.1655	-0.98025	-0.1825	-0.19975	-1.47325	-0.57425	0.07575	-0.43675	-1.34875	-1.45025	-1.26725	-0.7465	-1.4552499999999999	-1.43475
DENND4C	0.67975	-0.69274999999999998	0.46275	1.2755	0.64949999999999997	0.743	1.81075	1.4225	1.17375	1.34625	0.4855	1.23525	1.4745	0.563	-0.38124999999999998	1.35725
SWAP70	-0.4735	1.0685	0.839	0.12475	0.13425000000000001	0.856	0.26325	0.24525	-0.32375	0.6615	0.765	-0.1185	1.2315	-0.75475	-0.13300000000000001	1.22275
RARRES1	4.85375	0.60499999999999998	5.52975	3.14	3.1180000000000003	3.76875	4.05075	2.757	2.491	4.44	2.5065	-0.2185	-1.84725	-0.7325	2.9312499999999999	5.75425
PHLDA1	-3.0295	-1.5978888888888898	-2.44616666666667	-2.20816666666667	-1.4626666666666699	-1.81288888888889	-2.49788235294118	-2.20205555555555	-2.45961111111111	-2.59455555555556	-2.32752941176471	-2.98394444444444	-2.3518	-2.10544444444444	-1.05477777777778	-2.764
PHLDA3	1.8135	0.70850000000000002	-0.04725	-0.05875	0.96025000000000005	1.32575	0.98675	1.0325	1.4565	1.93425	-0.9835	1.50275	-0.3935	-1.3865	-0.040250000000000001	-0.0045
PHLDA2	-2.1072	-2.0567000000000002	-2.09633333333333	-1.88211111111111	-1.2276	-1.5958	-1.66822222222222	-1.3805	-0.7062	-1.3481	-1.5284	-1.61444444444444	-1.2116	-2.2576	0.13730000000000001	-2.555
GAP43	-1.33	-1.548	-3.462	-2.9955	-1.6665000000000001	-4.3825	-3.3105	-3.1335	-3.071	-3.5495	-5.296	-2.8025	-0.773	-3.1475	-3.4115000000000002	-1.714
FBXL11	-1.484	-1.16733333333333	-1.28533333333333	-0.728833333333333	-0.18283333333333301	0.195166666666667	-0.374666666666667	-0.5985	0.286	0.3585	-2.21983333333333	-0.932	-1.5034	0.4775	-1.0	-1.32166666666667
FBXL10	-2.399	-0.85199999999999998	-2.01266666666667	-1.18166666666667	-0.67200000000000004	-0.208333333333333	-0.826666666666667	-0.872333333333333	-0.903333333333333	-1.339	-1.222	-1.5735	-1.8345	-1.44583333333333	-1.6225000000000001	-1.72616666666667
HRH4	0.2225	0.034000000000000002	0.4025	0.375	0.44900000000000001	0.29875	0.852333333333333	0.366333333333333	0.98825	0.8905	-1.56466666666667	0.319	0.863	0.54575	0.80174999999999996	-0.843333333333333
FBXL12	0.142833333333333	0.18916666666666698	-0.0306666666666667	0.2375	0.073166666666666699	0.47	0.338666666666667	-0.184833333333333	0.476666666666667	-0.165166666666667	-0.123833333333333	0.111166666666667	-0.886666666666667	0.6425	0.11816666666666699	-0.140833333333333
HRH2	0.4795	0.34200000000000003	0.458	-0.194	0.745	0.312	0.4335	-0.0075	0.25	0.998	-3.292	0.113	-2.249	0.375	0.24600000000000002	-1.079
CYP27B1	-0.6035	-1.268	-2.29075	0.395	0.19550000000000001	0.51125	0.65025	0.8075	-0.8055	-2.0695	-1.11075	-0.79825	-1.73	-1.66975	0.26274999999999998	-0.225
FBXL17	-0.763	-1.1207499999999999	-2.99925	-3.16775	1.5430000000000001	-0.73425	-2.32025	-1.95575	-1.89875	-0.5155	-1.187	-1.9605	-1.74525	-2.11025	-2.9339999999999997	-2.6245
HRH1	0.3305	2.1243333333333303	2.17683333333333	2.07933333333333	1.2326666666666699	0.864166666666667	0.2575	1.13316666666667	1.397	-0.374333333333333	1.64283333333333	2.01116666666667	2.1755	-1.184	1.6968333333333301	1.904
FBXL19	-0.9365	-0.8105	-1.6255	-0.8695	1.1995	-1.0535	-0.838	-0.286	-0.3345	-1.3545	0.545	-1.0915	-0.755	-1.1885	-1.1845000000000001	-1.329
FBXL18	-1.47216666666667	-0.56100000000000005	-1.06916666666667	-1.3705	-0.32933333333333303	-0.792833333333333	-1.71783333333333	-0.611	-0.216	-1.30583333333333	-1.9774	-0.588333333333333	-3.0824	-1.55766666666667	-1.4308333333333301	-1.647
FAM116A	0.9305	1.2677499999999999	1.491	1.282	0.29249999999999998	0.84475	0.54525	0.74775	0.67475	0.539	0.892	1.41475	1.532	0.3835	1.2482500000000001	1.1735
LRRC7	0.6375	0.4365	-0.3115	-0.159	-0.48200000000000004	-1.497	0.71	1.2255	-0.7695	-0.129	-0.4015	null	0.4135	-0.2365	-1.3619999999999999	0.9785
GHDC	1.51433333333333	0.067000000000000004	-0.021	0.367833333333333	0.77849999999999997	0.818666666666667	-1.18116666666667	0.4905	0.809833333333333	0.229666666666667	-0.711	-0.403833333333333	-0.127666666666667	0.390166666666667	0.082500000000000004	0.0758333333333333
SDK1	-0.351	0.25187500000000002	0.807125	1.388875	0.91237500000000005	1.401875	-0.966625	0.849875	1.473125	-0.317375	0.508142857142857	0.2555	0.725857142857143	0.994125	-0.055999999999999994	0.80925
SDK2	0.391	0.27050000000000002	-0.371	-0.0716666666666667	0.36299999999999999	-0.2705	-0.587	-0.1815	0.07375	-0.15725	0.5595	0.244666666666667	0.910333333333333	-0.66825	-0.65599999999999992	-0.064
GRP	0.12575	-0.22625000000000001	2.93775	-0.39625	-0.60775000000000001	-1.37375	0.53225	0.15225	0.09625	-0.34525	-0.435666666666667	-0.536	0.191	0.83575	2.2605	0.13225
IL13	-0.154555555555556	0.46810000000000002	-0.0122	-9.25185853854297e-18	-0.14280000000000001	-0.02	0.2024	0.3612	-0.6777	0.395	0.501285714285714	0.76	0.869222222222222	-1.00777777777778	0.27189999999999998	-0.1719
THSD4	-0.572	-0.34100000000000003	-0.0615	-1.17983333333333	-0.67466666666666697	-0.961833333333333	-1.59383333333333	-0.6965	0.5635	-1.7975	-0.8225	-0.425666666666667	-1.8482	2.59716666666667	1.0831666666666699	-1.36566666666667
LOC440093	-1.15525	-0.033750000000000002	0.47425	-1.02525	-0.14999999999999999	0.089	0.71925	-0.70425	-0.20325	-0.722	-0.511	-1.44725	-0.5285	-0.661	0.052000000000000005	-0.27525
HPCAL4	0.796	-0.10866666666666699	-0.366166666666667	-0.691333333333333	-0.622	-0.431166666666667	-0.2745	-0.7215	-0.3334	-0.374666666666667	0.00250000000000002	-1.037	-1.2345	-0.482166666666667	0.55716666666666703	-0.710833333333333
ZNF709	0.6375	-0.65125	-0.25725	-0.12825	-0.27500000000000002	-0.27825	0.849	-0.3685	-0.2085	-0.64025	0.64275	-0.44225	-0.53025	0.38175	-0.13150000000000001	0.63525
THSD1	-0.65475	0.51000000000000001	1.153	-0.6865	0.13675000000000001	0.71225	0.237	0.06325	1.55525	0.32775	0.31525	-0.334	0.31475	-0.053	1.3554999999999999	-0.282
ZFP161	0.559333333333333	0.3703333333333329	1.45266666666667	1.001	0.50600000000000001	1.4145	1.23066666666667	1.167	0.418333333333333	0.998833333333333	0.5195	0.455166666666667	0.227666666666667	1.35183333333333	0.48616666666666708	1.384
COL4A6	-2.35666666666667	-0.0143333333333333	-1.705	-3.80433333333333	-1.659	-1.654	1.14183333333333	-2.279	-2.56033333333333	-3.85216666666667	-1.40266666666667	-2.49883333333333	-1.3138	-0.037	-1.4593333333333303	-3.61825
COL4A5	-0.4711	0.73740000000000006	-0.8878	-1.9024	-0.85640000000000005	-0.7064	0.1959	-0.3155	-0.325	-1.515	-0.852375	-0.195	-0.956444444444445	0.7781	-0.51370000000000005	-0.940555555555556
