Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Alzheimer's Disease	C0002395	PRNP	5621	F7VJQ1;P04156	prion protein		310	0.474	0.897	0.00071528	0.4	no reported evidence	0.9104478	68	3	1986.0	2016.0
Alzheimer's Disease	C0002395	RELN	5649	P78509	reelin		118	0.547	0.655	1.0	0.4	no reported evidence	1.0	16	3	2002.0	2016.0
Alzheimer's Disease	C0002395	TNF	7124	P01375	tumor necrosis factor	signaling molecule	1640	0.263	0.966	0.8046	0.4	no reported evidence	0.8955224	69	2	1999.0	2016.0
Alzheimer's Disease	C0002395	VEGFA	7422	P15692	vascular endothelial growth factor A	signaling molecule	1174	0.298	0.897	2.651e-05	0.4	no reported evidence	0.95	21	2	2005.0	2016.0
Alzheimer's Disease	C0002395	CYP46A1	10858	Q9Y6A2	cytochrome P450 family 46 subfamily A member 1	oxidoreductase	17	0.735	0.207	0.98554	0.4	no reported evidence	0.96875	33	5	2002.0	2016.0
Alzheimer's Disease	C0002395	NCSTN	23385	Q92542	nicastrin		26	0.681	0.379	0.99921	0.4	no reported evidence	1.0	17	2	2002.0	2014.0
Alzheimer's Disease	C0002395	BACE1	23621	P56817	beta-secretase 1	hydrolase; protease	56	0.616	0.517	0.87664	0.4	no reported evidence	0.9521531	217	3	1999.0	2018.0
Alzheimer's Disease	C0002395	MIR146A	406938		microRNA 146a		248	0.452	0.759		0.4	no reported evidence	1.0	11	0	2009.0	2016.0
Alzheimer's Disease	C0002395	BLMH	642	Q13867	bleomycin hydrolase	hydrolase; protease	21	0.696	0.379	0.32983	0.39	no reported evidence	1.0	9	1	1998.0	2011.0
Alzheimer's Disease	C0002395	MAOB	4129	P27338	monoamine oxidase B	nucleic acid binding; oxidoreductase; transferase	82	0.575	0.724	0.99856	0.38	no reported evidence	1.0	10	0	1995.0	2018.0
Alzheimer's Disease	C0002395	SOD2	6648	P04179	superoxide dismutase 2	oxidoreductase	488	0.396	0.897	0.15955	0.35	no reported evidence	1.0	6	0	2001.0	2016.0
Alzheimer's Disease	C0002395	TF	7018	P02787	transferrin	hydrolase; protease; receptor; transfer/carrier protein	121	0.548	0.724	4.2941e-08	0.35	no reported evidence	1.0	6	2	2002.0	2012.0
Alzheimer's Disease	C0002395	TFAM	7019	Q00059	transcription factor A, mitochondrial		98	0.565	0.655	0.1946	0.35	no reported evidence	0.8	5	0	2005.0	2014.0
Alzheimer's Disease	C0002395	APBB2	323	Q92870	amyloid beta precursor protein binding family B member 2		13	0.762	0.103	0.044113	0.34	no reported evidence	1.0	4	0	2006.0	2016.0
Alzheimer's Disease	C0002395	CHRNB2	1141	P17787	cholinergic receptor nicotinic beta 2 subunit	receptor; transporter	86	0.619	0.207	0.00077392	0.34	no reported evidence	1.0	4	0	2000.0	2007.0
Alzheimer's Disease	C0002395	SLC30A6	55676	Q6NXT4	solute carrier family 30 member 6		14	0.735	0.207	3.3546e-08	0.34	no reported evidence	1.0	4	0	2006.0	2014.0
Alzheimer's Disease	C0002395	EIF2S1	1965	P05198	eukaryotic translation initiation factor 2 subunit alpha	nucleic acid binding	62	0.598	0.517	0.97293	0.33	no reported evidence	1.0	4	0	2002.0	2009.0
Alzheimer's Disease	C0002395	ATP5F1A	498	P25705	ATP synthase F1 subunit alpha	hydrolase; nucleic acid binding; receptor; transporter	49	0.639	0.448		0.32	no reported evidence	1.0	3	0	2003.0	2016.0
Alzheimer's Disease	C0002395	CRH	1392	P06850	corticotropin releasing hormone		274	0.456	0.759	0.72442	0.32	no reported evidence	1.0	3	0	1995.0	2016.0
Alzheimer's Disease	C0002395	ENO1	2023	P06733	enolase 1	lyase	149	0.516	0.828	1.6866e-05	0.32	no reported evidence		3	0	2003.0	2009.0
Alzheimer's Disease	C0002395	F2	2147	P00734	coagulation factor II, thrombin	hydrolase; protease	249	0.466	0.793	0.0011245	0.32	no reported evidence	1.0	3	0	1993.0	2012.0
Alzheimer's Disease	C0002395	IGF2R	3482	P11717	insulin like growth factor 2 receptor	receptor	110	0.545	0.655	1.0	0.32	no reported evidence	1.0	3	0	2005.0	2015.0
Alzheimer's Disease	C0002395	PAXIP1	22976	Q6ZW49	PAX interacting protein 1		9	0.773	0.138	1.0	0.32	no reported evidence	1.0	2	0	2005.0	2015.0
Alzheimer's Disease	C0002395	ARC	23237	Q7LC44	activity regulated cytoskeleton associated protein		41	0.636	0.517	0.60187	0.32	no reported evidence	0.5	3	0	2000.0	2012.0
Alzheimer's Disease	C0002395	HLA-DRB5	3127	Q30154	major histocompatibility complex, class II, DR beta 5	defense/immunity protein	37	0.648	0.517	2.9812e-06	0.31	no reported evidence	1.0	2	0	2017.0	2018.0
Alzheimer's Disease	C0002395	TPI1	7167	P60174	triosephosphate isomerase 1	isomerase	120	0.564	0.655	0.020478	0.31	no reported evidence	1.0	2	0	2009.0	2015.0
Alzheimer's Disease	C0002395	SLC30A4	7782	O14863	solute carrier family 30 member 4	transporter	19	0.72	0.31	0.13048	0.31	no reported evidence		1	0	2006.0	2006.0
Alzheimer's Disease	C0002395	ABI3	51225	Q9P2A4	ABI family member 3	enzyme modulator	15	0.743	0.207	0.0013982	0.31	no reported evidence	1.0	1	0	2017.0	2017.0
Alzheimer's Disease	C0002395	AGER	177	Q15109	advanced glycosylation end-product specific receptor	cell adhesion molecule; receptor	232	0.472	0.724	3.4363e-16	0.3	no reported evidence	1.0	27	1	1999.0	2018.0
Alzheimer's Disease	C0002395	AMFR	267	Q9UKV5	autocrine motility factor receptor		25	0.701	0.31	6.9336e-05	0.3	no reported evidence		1	0	2012.0	2012.0
Alzheimer's Disease	C0002395	CHAT	1103	P28329	choline O-acetyltransferase	transferase	119	0.559	0.655	4.8596e-11	0.3	no reported evidence	0.964285714285714	33	5	1987.0	2014.0
Alzheimer's Disease	C0002395	TPP1	1200	O14773	tripeptidyl peptidase 1	hydrolase; protease	96	0.611	0.586	5.487e-07	0.3	no reported evidence		1	0	1999.0	1999.0
Alzheimer's Disease	C0002395	LRP1	4035	Q07954	LDL receptor related protein 1		128	0.533	0.724	1.0	0.3	no reported evidence	0.8974359	40	1	1996.0	2016.0
Alzheimer's Disease	C0002395	MME	4311	P08473	membrane metalloendopeptidase	hydrolase; protease	237	0.461	0.69	6.9777e-17	0.3	no reported evidence	0.9642857	58	2	1995.0	2016.0
Alzheimer's Disease	C0002395	NGF	4803	P01138	nerve growth factor	signaling molecule	353	0.426	0.862	0.76021	0.3	no reported evidence	0.9444444	55	1	1990.0	2017.0
Alzheimer's Disease	C0002395	NGFR	4804	P08138	nerve growth factor receptor	receptor	160	0.508	0.724	0.29947	0.3	no reported evidence	0.8888889	13	1	1989.0	2016.0
Alzheimer's Disease	C0002395	PIN1	5300	Q13526	peptidylprolyl cis/trans isomerase, NIMA-interacting 1		119	0.536	0.655	0.76129	0.3	no reported evidence	0.9642857	31	0	2001.0	2018.0
Alzheimer's Disease	C0002395	PLCG2	5336	P16885	phospholipase C gamma 2	calcium-binding protein; enzyme modulator; hydrolase; signaling molecule	50	0.636	0.621	0.99843	0.3	no reported evidence		1	0	2017.0	2017.0
Alzheimer's Disease	C0002395	PYY	5697	P10082	peptide YY	signaling molecule	44	0.639	0.414	0.011379	0.3	no reported evidence		1	0	2002.0	2002.0
Alzheimer's Disease	C0002395	PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	oxidoreductase	832	0.338	0.897	0.99639	0.3	no reported evidence	0.952381	24	0	1998.0	2015.0
Alzheimer's Disease	C0002395	S100B	6285	P04271	S100 calcium binding protein B	calcium-binding protein; signaling molecule	301	0.443	0.862	0.046548	0.3	no reported evidence	1.0	12	1	1996.0	2011.0
Alzheimer's Disease	C0002395	SLC2A4	6517	P14672	solute carrier family 2 member 4		90	0.564	0.586	3.188e-05	0.3	no reported evidence		1	0	2014.0	2014.0
Alzheimer's Disease	C0002395	SOD1	6647	P00441	superoxide dismutase 1	oxidoreductase	456	0.406	0.931	0.12829	0.3	no reported evidence	1.0	21	2	1989.0	2016.0
Alzheimer's Disease	C0002395	GAPDHS	26330	O14556	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	oxidoreductase	7	0.799	0.069	4.3113e-05	0.3	no reported evidence		1	0	2007.0	2007.0
Alzheimer's Disease	C0002395	NFE2L2	4780	Q16236	nuclear factor, erythroid 2 like 2	cytoskeletal protein; hydrolase; nucleic acid binding; transcription factor	376	0.42	0.862	0.0035489	0.29	no reported evidence	0.7777778	10	0	2009.0	2016.0
Alzheimer's Disease	C0002395	NOS2	4843	P35228	nitric oxide synthase 2		531	0.385	0.931	1.4648e-14	0.29	no reported evidence	1.0	10	0	2002.0	2016.0
Alzheimer's Disease	C0002395	MAP2	4133	P11137	microtubule associated protein 2		66	0.598	0.483	1.0	0.28	no reported evidence	1.0	9	0	1991.0	2015.0
Alzheimer's Disease	C0002395	NTRK2	4915	Q16620	neurotrophic receptor tyrosine kinase 2		165	0.514	0.586	1.0	0.28	no reported evidence	1.0	9	1	1997.0	2016.0
Alzheimer's Disease	C0002395	IRS1	3667	P35568	insulin receptor substrate 1		137	0.532	0.621	0.035329	0.27	no reported evidence	1.0	8	0	2009.0	2016.0
Alzheimer's Disease	C0002395	APLP2	334	Q06481	amyloid beta precursor like protein 2	enzyme modulator	24	0.727	0.31	0.37896	0.26	no reported evidence	1.0	7	0	1994.0	2013.0
Alzheimer's Disease	C0002395	PTGS1	5742	P23219	prostaglandin-endoperoxide synthase 1	oxidoreductase	199	0.495	0.828	2.6476e-06	0.26	no reported evidence	1.0	7	0	1998.0	2016.0
Alzheimer's Disease	C0002395	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	transcription factor	191	0.497	0.828	0.99991	0.26	no reported evidence	1.0	7	0	2008.0	2015.0
Alzheimer's Disease	C0002395	NGB	58157	Q9NPG2	neuroglobin	transporter	30	0.681	0.31	0.0042421	0.26	no reported evidence	1.0	7	0	2008.0	2017.0
Alzheimer's Disease	C0002395	CAV1	857	Q03135	caveolin 1	enzyme modulator; membrane traffic protein; structural protein; transmembrane receptor regulatory/adaptor protein	421	0.416	0.828	0.0072029	0.25	no reported evidence	1.0	6	0	2004.0	2012.0
Alzheimer's Disease	C0002395	MAPK14	1432	Q16539	mitogen-activated protein kinase 14	kinase; transferase	270	0.449	0.862	0.77511	0.24	no reported evidence	1.0	5	0	2002.0	2011.0
Alzheimer's Disease	C0002395	CTNNB1	1499	P35222	catenin beta 1		412	0.417	0.759	0.99999	0.23	no reported evidence	1.0	4	0	1999.0	2005.0
Alzheimer's Disease	C0002395	CCR5	1234	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)		303	0.431	0.897	5.2544e-10	0.22	no reported evidence	1.0	3	0	2005.0	2007.0
Alzheimer's Disease	C0002395	HSPB1	3315	P04792	heat shock protein family B (small) member 1		261	0.468	0.69	1.7685e-06	0.22	no reported evidence	1.0	3	0	2011.0	2015.0
Alzheimer's Disease	C0002395	HSPD1	3329	P10809	heat shock protein family D (Hsp60) member 1		226	0.481	0.793	0.99184	0.22	no reported evidence	1.0	3	0	2003.0	2011.0
Alzheimer's Disease	C0002395	MFN2	9927	O95140	mitofusin 2	hydrolase; phosphatase	176	0.541	0.759	0.988	0.22	no reported evidence	1.0	3	0	2009.0	2017.0
Alzheimer's Disease	C0002395	CIB1	10519	Q99828	calcium and integrin binding 1		190	0.477	0.724	0.00034082	0.22	no reported evidence	1.0	3	0	2005.0	2008.0
Alzheimer's Disease	C0002395	ATP7A	538	Q04656	ATPase copper transporting alpha	hydrolase; transporter	313	0.518	0.655	0.99986	0.21	no reported evidence	1.0	2	0	2010.0	2015.0
Alzheimer's Disease	C0002395	GSR	2936	P00390	glutathione-disulfide reductase	oxidoreductase	98	0.548	0.759	8.365e-07	0.21	no reported evidence	1.0	2	0	2005.0	2009.0
Alzheimer's Disease	C0002395	HSF1	3297	Q00613	heat shock transcription factor 1	transcription factor	101	0.552	0.655	0.94525	0.21	no reported evidence	1.0	2	0	2013.0	2014.0
Alzheimer's Disease	C0002395	IKBKB	3551	O14920	inhibitor of nuclear factor kappa B kinase subunit beta	kinase; transferase	88	0.57	0.621	0.98476	0.21	no reported evidence	1.0	2	0	2014.0	2014.0
Alzheimer's Disease	C0002395	INS-IGF2	723961	F8WCM5	INS-IGF2 readthrough		27	0.667	0.379	0.053997	0.21	no reported evidence	1.0	2	0	2002.0	2007.0
Alzheimer's Disease	C0002395	MT2A	4502	P02795	metallothionein 2A		75	0.588	0.621	1.4153e-05	0.2	no reported evidence		1	0	2006.0	2006.0
Alzheimer's Disease	C0002395	SERPINF1	5176	P36955	serpin family F member 1	enzyme modulator	162	0.507	0.724	6.6926e-08	0.2	no reported evidence		1	0	2006.0	2006.0
Alzheimer's Disease	C0002395	GAB2	9846	Q9UQC2	GRB2 associated binding protein 2	transmembrane receptor regulatory/adaptor protein	56	0.627	0.586	0.99466	0.2	no reported evidence	0.9166667	14	9	2007.0	2018.0
Alzheimer's Disease	C0002395	TOMM40	10452	O96008	translocase of outer mitochondrial membrane 40	membrane traffic protein	72	0.636	0.483	0.99154	0.2	no reported evidence	0.9512195	61	17	2009.0	2018.0
Alzheimer's Disease	C0002395	PLCB1	23236	Q9NQ66	phospholipase C beta 1	calcium-binding protein; enzyme modulator; hydrolase; signaling molecule	69	0.652	0.448	0.97459	0.2	no reported evidence		1	0	1997.0	1997.0
Alzheimer's Disease	C0002395	SQSTM1	8878	Q13501	sequestosome 1		273	0.49	0.828	0.010007	0.17	no reported evidence	0.8571429	8	1	2007.0	2017.0
Alzheimer's Disease	C0002395	FERMT2	10979	Q96AC1	fermitin family member 2		32	0.676	0.414	0.99999	0.14	no reported evidence	1.0	5	2	2014.0	2018.0
Alzheimer's Disease	C0002395	EXOC3L2	90332	Q2M3D2	exocyst complex component 3 like 2	membrane traffic protein	7	0.834	0.241	0.67551	0.14	no reported evidence	1.0	6	2	2011.0	2017.0
Alzheimer's Disease	C0002395	MS4A4E	643680	Q96PG1	membrane spanning 4-domains A4E	receptor	3	0.928	0.069	0.0010218	0.14	no reported evidence	1.0	5	11	2011.0	2018.0
Alzheimer's Disease	C0002395	NFIC	4782	P08651	nuclear factor I C	nucleic acid binding; transcription factor	27	0.696	0.414	0.10777	0.13	no reported evidence	0.6666667	4	1	2011.0	2017.0
Alzheimer's Disease	C0002395	CELF1	10658	Q92879	CUGBP Elav-like family member 1		32	0.681	0.379	0.99976	0.13	no reported evidence	1.0	4	1	2014.0	2018.0
Alzheimer's Disease	C0002395	ZCWPW1	55063	Q9H0M4	zinc finger CW-type and PWWP domain containing 1		7	0.886	0.103	7.8635e-14	0.13	no reported evidence	1.0	4	1	2014.0	2018.0
Alzheimer's Disease	C0002395	FRMD4A	55691	Q9P2Q2	FERM domain containing 4A		54	0.696	0.448	1.0	0.13	no reported evidence	1.0	3	1	2014.0	2016.0
Alzheimer's Disease	C0002395	MS4A6A	64231	Q9H2W1	membrane spanning 4-domains A6A	receptor	5	0.857	0.172	7.9456e-12	0.13	no reported evidence	1.0	5	7	2011.0	2017.0
Alzheimer's Disease	C0002395	PTK2B	2185	Q14289	protein tyrosine kinase 2 beta		157	0.502	0.69	0.94209	0.12	no reported evidence	1.0	3	1	2014.0	2018.0
Alzheimer's Disease	C0002395	IL6R	3570	P08887	interleukin 6 receptor	defense/immunity protein; signaling molecule	165	0.496	0.724	2.8446e-05	0.12	no reported evidence	1.0	3	1	2003.0	2015.0
Alzheimer's Disease	C0002395	INPP5D	3635	Q92835	inositol polyphosphate-5-phosphatase D		43	0.636	0.552	0.96425	0.12	no reported evidence	1.0	3	1	2014.0	2018.0
Alzheimer's Disease	C0002395	TRIP4	9325	Q15650	thyroid hormone receptor interactor 4	transcription factor	32	0.701	0.345	5.4881e-07	0.12	no reported evidence	1.0	3	1	2014.0	2015.0
Alzheimer's Disease	C0002395	BCL3	602	P20749	B cell CLL/lymphoma 3		69	0.592	0.655	0.98924	0.11	no reported evidence	1.0	5	3	1994.0	2015.0
Alzheimer's Disease	C0002395	NR3C2	4306	P08235	nuclear receptor subfamily 3 group C member 2	nucleic acid binding; receptor; transcription factor	163	0.52	0.69	0.80843	0.11	no reported evidence	1.0	2	1	2011.0	2017.0
Alzheimer's Disease	C0002395	SUCLG2	8801	Q96I99	succinate-CoA ligase GDP-forming beta subunit		12	0.785	0.31	2.9541e-14	0.11	no reported evidence	1.0	1	1	2015.0	2015.0
Alzheimer's Disease	C0002395	SPON1	10418	Q9HCB6	spondin 1	extracellular matrix protein	10	0.799	0.241		0.11	no reported evidence	1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	CELF2	10659	O95319	CUGBP Elav-like family member 2		32	0.663	0.552	0.99994	0.11	no reported evidence	1.0	2	5	2011.0	2015.0
Alzheimer's Disease	C0002395	MTHFD1L	25902	Q6UB35	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	ligase	23	0.701	0.345	1.2793e-10	0.11	no reported evidence	0.0	2	1	2011.0	2012.0
Alzheimer's Disease	C0002395	DCHS2	54798	Q6V1P9	dachsous cadherin-related 2	hydrolase; protease	5	1.0	0.069	1.495e-46	0.11	no reported evidence	1.0	1	3	2013.0	2013.0
Alzheimer's Disease	C0002395	CASS4	57091	Q9NQ75	Cas scaffold protein family member 4		8	0.815	0.172	0.30299	0.11	no reported evidence	1.0	2	1	2014.0	2018.0
Alzheimer's Disease	C0002395	EXOC4	60412	Q96A65	exocyst complex component 4	membrane traffic protein	11	0.773	0.379	4.1136e-13	0.11	no reported evidence	1.0	2	1	2014.0	2014.0
Alzheimer's Disease	C0002395	MEGF10	84466	Q96KG7	multiple EGF like domains 10	extracellular matrix protein	49	0.696	0.414	0.64149	0.11	no reported evidence	1.0	2	1	2010.0	2014.0
Alzheimer's Disease	C0002395	PLXNA4	91584	Q9HCM2	plexin A4		12	0.785	0.138	0.99998	0.11	no reported evidence	1.0	1	1	2014.0	2014.0
