"gene","patient1","patient2","patient3","patient4","patient5"
"SP1",1.189125,0.9215,0.65525,0.714375,0.80675
"GRINA",1.0035,1.1455,2.655,0.497,0.7085
"CEACAM6",1.4718,5.4382,2.1513,3.777,4.5825
"NUP93",-1.472,-1.1435,-0.9665,-1.00791666666667,-0.0594166666666667
"SP5",-0.1915,-3.77825,-4.01933333333333,-3.78633333333333,-3.962
"KLRA1",-0.846,0.0645,-0.0965,0.1305,0.018
"SP7",0.286,0.314,0.643,-0.127,0.4555
"OR5B3",0.204,0.198,0.2255,0.1755,0.259
"GOLIM4",-0.919166666666667,0.868833333333333,0.951166666666667,0.488833333333333,0.146333333333333
"VIL2",1.3395,0.846583333333333,0.422333333333333,0.480833333333333,1.05841666666667
"OPA3",0.722875,0.014875,0.184875,-0.407125,0.503875
"OPA1",-0.251625,-0.77575,-0.6705,-0.30075,0.055625
"RAB40C",0.680416666666667,0.481666666666667,0.452916666666667,0.290583333333333,0.899583333333334
"RAB40B",1.483,0.6175,1.0635,1.845,1.007
"RAB40A",-0.6715,-0.5035,0.4695,-0.3055,-1.9305
"CBX1",0.8327,-1.2239,-0.3226,-0.5094,-0.2201
"FBL",-1.124,-0.5895,-1.50216666666667,-0.058,-1.46566666666667
"MGC39606",-0.98925,1.6715,0.0125,2.23875,0.26875
"ARTS-1",-0.8485,1.0358,0.9082,0.4787,0.2093
"GTSE1",-2.00416666666667,-1.6695,-2.7955,-2.77833333333333,-1.35433333333333
"ARFRP1",-0.698333333333333,-0.778166666666667,-0.346166666666667,-0.831666666666667,-0.986333333333334
"OVCH1",0.2385,0.234166666666667,-0.8345,0.3355,0.4138
"B4GALNT1",-2.053,-1.5925,-1.96483333333333,-1.64383333333333,-1.53333333333333
"KIAA0831",0.52375,0.35125,0.834875,0.159375,-0.207625
"SPPL2A",0.773166666666667,-0.88,-0.0776666666666667,0.102666666666667,0.617166666666667
"SPPL2B",1.3521,-0.0381,0.4876,-0.6302,0.3741
"ITGA8",-0.558,1.17875,-0.31075,0.13625,0.4725
"ITGA9",1.26716666666667,1.5315,1.0665,0.811166666666667,0.661
"UGCG",2.498,0.7255,3.59166666666667,1.02333333333333,-0.176333333333333
"MYO3B",-0.5755,-0.65275,-0.51075,-0.61525,-0.42725
"ATP2A1",0.079,-0.3915,-0.1305,-0.5885,0.05875
"ATP2A2",-0.516,-0.154285714285714,0.240857142857143,0.358071428571429,0.1155
"ATP2A3",1.6477,-0.8185,-2.1481,-0.3565,0.6892
"ITGA1",-1.6756,-0.2318,-1.212,-0.1972,0.7263
"ITGA2",-2.47791666666667,0.431416666666667,-1.69358333333333,0.564,-0.1685
"ITGA3",-0.498125,-0.401375,-0.459,0.877375,-1.6145
"SUGT1L1",2.006,0.3975,1.46375,1.27925,-0.38475
"RIT2",0.32,0.25575,-0.30975,-0.21525,-0.419
"RIT1",-0.212083333333333,0.2885,0.289416666666667,-0.0645,0.803833333333333
"ITGA7",-0.8968,-0.2634,-1.1844,0.3876,-0.6672
"TRHR",0.236,0.188375,1.123875,0.134625,0.806375
"DENND4A",-1.09075,-0.8955,0.008375,0.00712500000000002,-0.8315
"DENND4B",-0.9545,-1.3345,-0.62125,-1.54,-0.66725
"DENND4C",0.7465,0.36675,0.57475,0.751,-0.1115
"SWAP70",0.9225,1.008,0.181,1.52675,0.9805
"RARRES1",-0.116,2.82475,0.003,5.64075,4.72
"PHLDA1",-3.84888888888889,-2.53755555555555,-4.00927777777778,-0.0557222222222222,-1.72227777777778
"PHLDA3",-0.39325,1.45275,-0.82425,0.69425,0.006
"PHLDA2",-1.4729,-1.7072,-3.4991,-1.0212,0.7041
"GAP43",-3.664,-3.0095,-3.8395,-2.096,-2.6385
"FBXL11",1.06466666666667,0.687833333333333,0.682333333333333,0.556,0.547833333333333
"FBXL10",-0.457833333333333,-0.810333333333333,-0.705666666666667,-1.46483333333333,-0.205166666666667
"HRH4",0.18075,0.107,0.436,0.252,1.05775
"FBXL12",-0.679,-0.106166666666667,-0.457166666666667,0.0221666666666667,-0.392666666666667
"HRH2",0.1375,0.398,0.4215,0.0235,-0.2735
"CYP27B1",-0.61225,-2.011,-1.65825,0.156,-0.254
"FBXL17",2.156,0.44125,0.78175,-1.026,0.58275
"HRH1",-2.16733333333333,-0.201166666666667,-2.51883333333333,-0.742,0.642166666666667
"FBXL19",-0.729,-0.5395,-0.794,-0.831,-0.376
"FBXL18",-0.268,-0.787,-0.657666666666667,-0.693,-0.696833333333333
"FAM116A",0.94275,0.162,0.1085,0.2225,0.126
"LRRC7",-0.324,-1.717,-0.7215,-0.27,-0.0775
"GHDC",1.25,0.0135,2.37,0.4145,0.1285
"SDK1",0.595125,1.374625,0.317875,0.32825,-0.2
"SDK2",-0.162,0.033,-0.608,-0.2775,0.233
"GRP",5.057,6.44125,0.1205,7.59875,4.78075
"IL13",0.104,-0.0138,0.1066,-0.0879,0.082375
"THSD4",2.97116666666667,1.02433333333333,3.43966666666667,2.22083333333333,0.06
"LOC440093",1.29075,-1.11775,1.40625,0.33625,-0.29425
"HPCAL4",-0.995,-0.3115,-0.992166666666667,0.0688333333333333,-0.74
"ZNF709",0.169,0.01325,1.37775,0.599,0.08875
"THSD1",0.358,1.30875,0.12025,1.319,0.034
"ZFP161",0.165833333333333,0.835166666666667,0.602333333333333,0.729833333333333,0.253666666666667
"COL4A6",-2.4285,-0.746166666666667,-4.45066666666667,0.762666666666667,-3.924
"COL4A5",0.1456,-0.4013,-1.0618,0.4861,-1.4127
"COL4A4",-1.763,-1.382,-2.556,-0.1405,-0.4935
"COL4A3",-1.16433333333333,-0.774166666666667,-1.00116666666667,-0.357166666666667,-1.2755
"COL4A2",-0.263,1.2795,0.6645,1.468,2.1345
"COL4A1",0.5175625,1.863875,1.4673125,1.1873125,3.1055
"OR8J3",0.162,0.12,-0.087,-0.4125,0.1215
"GRN",0.368,0.1085,0.86725,-0.05725,0.3675
"CHST3",-2.74575,0.27575,-2.7545,0.2885,-0.04275
"CHST2",-1.98425,-1.5155,-2.421,-0.1005,-1.015
"CHST5",-0.2385,-0.18125,0.18075,-0.147,-0.9145
"CHST4",-2.4265,-1.90425,-2.54,-0.06425,-2.2785
"CHST7",-1.68466666666667,-0.206166666666667,0.713833333333333,-0.372666666666667,0.0446666666666667
"CHST6",-3.33,-2.61,-4.008,-2.033,-1.214
"ITGAX",2.0232,1.6453,1.4689,0.8715,2.0448
"MLNR",0.2045,-0.1365,0.146,-0.113,0.571
"HLX",-0.7085,1.38883333333333,-0.7825,-0.0551666666666667,0.1245
"HLCS",0.7765,0.821,0.4165,0.10625,1.12175
"NOG",-2.3625,-1.3865,-2.4735,-1.2905,-2.1295
"VSTM3",1.73375,3.09475,1.24525,1.4705,4.433
"HIBCH",0.16,0.449666666666667,-0.280333333333333,0.160666666666667,0.576
"CAMK1",0.72325,0.29725,-1.28275,0.08125,-0.3835
"GPR114",0.693,1.25183333333333,1.573,1.50283333333333,0.951666666666667
"LOC388969",-0.416,0.6235,0.4975,-0.28025,0.302
"ITGAM",2.806,3.18816666666667,2.147,1.61083333333333,2.647
"LOC388965",0.786,0.06225,0.65625,0.20375,0.16875
"HLF",-1.402,-0.4756,-0.4731,-0.4755,-2.0327
"NOV",-2.05925,1.64025,-2.082625,1.095125,-0.388625
"GPSM1",1.4085,-0.3665,-0.5525,0.1135,0.089
"ITGAD",0.63325,0.43575,1.89,1.01775,2.94766666666667
"FAM134B",3.505625,1.774875,4.27925,1.6195,-0.595625
"FAM134A",0.686666666666667,1.24,1.551,0.4185,0.740166666666667
"ZNF700",0.0933333333333333,-0.821166666666667,-0.155,-0.397833333333333,-0.646166666666667
"SMAD9",-2.262,-0.03975,-3.288,-0.37125,-1.27425
"TRERF1",1.10533333333333,-0.668666666666667,0.843333333333333,-0.677666666666667,-1.92866666666667
"EEF2K",0.454375,0.183125,-0.01675,-0.349625,0.52675
"SMAD4",-0.285875,0.386625,0.14475,0.595375,0.04475
"LQK1",-0.54575,-1.75825,0.029,-1.0895,0.1415
"SMAD6",-0.5295,-0.08625,-0.527,-1.17025,-1.05225
"SMAD7",0.283,0.845,0.8075,0.70925,1.46125
"GOLPH3L",1.332625,1.848375,1.4615,0.7215,0.682875
"SMAD1",1.4499,2.0081,0.95,1.4223,1.9637
"AFTPH",1.8976875,1.4541875,1.835375,0.84775,0.76725
"SMAD3",-0.135,-0.4901,0.00639999999999999,-0.1603,-2.0452
"RFK",-1.057375,-0.32225,-0.06375,-0.2415,-1.00475
"AMMECR1L",-0.137,0.2874,-0.2149,0.1761,-0.0936
"KIAA1505",2.83075,1.872,1.5615,1.147,0.4885
"PSCD2",1.46775,1.06725,1.227,0.496,0.9835
"RAB10",-0.00250000000000001,0.152375,-0.1655,-0.104625,0.03775
"IL1RAPL1",-1.486,-1.2025,-1.04925,0.97725,-2.223
"TMPRSS11B",0.42375,-0.32225,-0.4495,0.2715,-0.63775
"IGF2R",-0.622,-0.1563,-0.4122,-0.0241,0.094
"TMPRSS11D",0.748,0.282,0.151,-0.858,-0.824
"TMPRSS11F",0.239,-0.35,-0.688,-0.164,-2.8385
"PLRG1",-0.44775,-0.1825,-0.28825,0.35975,-0.55075
"SLC36A3",-0.0175,0.2445,-0.1975,0.402,0.6675
"CKS1B",0.0166,-1.1089,-1.5446,-1.4328,-0.3513
"SLC36A1",-0.36025,0.2715,0.89325,0.00549999999999999,0.70825
"LOC388272",-1.58375,-1.87175,-1.633,-0.654,0.1605
"ST13",-0.913333333333333,0.844166666666667,0.117333333333333,1.04166666666667,0.53425
"C14orf115",-3.838875,-3.644125,-3.797,-3.473,-3.945125
"C14orf112",0.643166666666667,0.418,0.945166666666667,0.495333333333333,0.197166666666667
"NSBP1",-0.841,-0.4985,-2.0165,-0.82225,-3.4035
"HYI",1.6075,0.5465,0.3915,0.5885,1.1235
"ERICH1",-0.827125,-0.563,-1.65075,0.643375,-0.514
"ARTN",2.01783333333333,0.390833333333333,1.25933333333333,-0.444833333333333,1.42483333333333
"ART1",0.124,-0.0285,-0.061,0.11,0.4805
"HRH3",-0.1251,-0.1024,0.054,-0.0685,0.170777777777778
"ART3",-4.12783333333333,-3.11366666666667,-4.47483333333333,-2.24516666666667,4.23833333333333
"HERC2P2",-0.731166666666667,-2.18633333333333,-1.06733333333333,-0.979666666666667,-1.9045
"ART5",-1.82075,0.4125,-0.311125,1.0685,-0.00125000000000001
"ART4",-2.81833333333333,-1.6205,-1.61333333333333,-1.16116666666667,-2.3914
"C21orf82",-0.103,1.7975,-1.4785,-0.002,1.0695
"SPTLC1",0.361375,0.210625,0.276875,0.16325,0.396
"TCEA2",1.0723,0.2588,0.316,-0.2576,-0.4032
"TCEA3",2.69775,3.12458333333333,2.831,1.61275,1.89508333333333
"TCEA1",-0.7501,0.0776,1.6025,0.0323,-0.7598
"COX4I2",1.344,2.10475,1.1705,1.61725,1.97825
"COX4I1",-0.269357142857143,-0.7395,-0.422071428571428,-0.0455,-0.1615
"BFAR",-0.0445,-0.479,-0.8005,-0.44725,-0.704
"CRTAM",1.99766666666667,2.615,1.63583333333333,2.347,3.65883333333333
"EDA",-1.61825,0.06425,-2.1595,-0.742,-1.975
"PIPOX",-2.111,-1.3985,-2.3845,-1.167,-1.485
"CCDC116",-2.3845,-2.3255,-2.436,-1.352,-2.8455
"CADPS2",1.65875,1.45825,1.3515,2.0795,2.477
"CCDC114",0.514833333333333,0.2245,0.2035,-0.0481666666666667,0.00149999999999998
"CCDC115",1.312625,2.480625,1.271375,1.40925,0.765875
"CCDC112",-0.316833333333333,-1.10883333333333,-0.434166666666667,-0.756833333333333,-0.474
"MCF2L",1.48025,1.66783333333333,0.8055,1.18241666666667,1.54466666666667
"CCDC110",1.8585,4.07625,2.683,3.04825,2.1305
"CCDC111",-0.1865,-0.0995,0.7785,0.4665,-0.1745
"RAB3A",-0.0725,-0.104,0.714,-0.403,-0.07325
"LEO1",0.39,-0.58475,0.9065,0.007,-0.5565
"ATP1A4",0.424,1.14783333333333,0.603666666666667,0.295666666666667,-0.016
"ATP1A3",0.6575,1.0125,0.532,0.499,0.03475
"ATP1A2",-1.55575,0.35625,-1.3795,1.51675,-1.49275
"ATP1A1",0.7103,0.3581,0.4606,0.1285,0.0892
"LOC131149",0.1615,-0.111,0.2895,-1.091,-0.2935
"MGRN1",0.34875,-0.00487499999999999,0.11425,-0.011375,-0.209875
"NHEJ1",-1.0275,-0.0886666666666667,-1.08816666666667,-0.0383333333333333,0.0196666666666667
"CRTAP",0.0525,0.592,-0.978857142857143,0.275928571428571,0.533714285714286
"SPHK2",0.775666666666667,0.243166666666667,0.732833333333333,0.333833333333333,-0.085
"SPHK1",-1.39825,-1.119,-3.22625,-0.36075,1.3495
"DPT",3.458,3.64308333333333,-1.67008333333333,3.414,3.701
"BPESC1",-0.58625,0.25075,0.940333333333333,-0.3685,-0.415
"IPO11",-0.24925,1.2625,-0.249625,0.781875,0.2685
"CUEDC2",0.44525,0.09025,-0.124625,-0.090375,-0.247
"CBLB",0.280333333333333,0.8175,0.469166666666667,0.6095,1.05733333333333
"AIM1",0.7355,1.02425,-0.04025,2.3995,1.90675
"CPEB4",0.276,0.79525,2.10125,0.5855,0.863125
"CPEB1",-1.8265,-1.82775,-3.74475,-1.4445,-1.4335
"ZNF45",0.197,0.658125,0.6435,0.42325,-0.71525
"CPEB3",1.14925,3.0365,2.56925,2.69225,0.717
"CPEB2",1.3255,1.074875,2.091875,0.548125,0.824875
"BEGAIN",-3.11016666666667,-1.52916666666667,-3.32633333333333,-0.258333333333333,-2.67666666666667
"ZNF44",0.2832,-0.3709,1.2892,0.1747,-0.263444444444444
"NOPE",-1.2688,0.2352,-0.5863,0.2456,-0.751
"ABAT",2.9341,0.7329,0.5688,0.6344,-2.2063
"ZNF780A",0.223,0.7335,0.8505,0.634,-0.231
"ZNF780B",0.58575,-0.46025,1.0315,-0.2155,0.55375
"BRF2",-0.388,0.978,1.61833333333333,0.185833333333333,0.555666666666667
"FRG1",-0.088,-0.26225,0.09925,0.011,-0.699
"RHEBL1",-0.32275,-1.00775,-0.839,-1.47325,-1.53325
"ZNF41",0.123,0.27575,0.5765,0.25725,0.766
"IFT80",-0.3279,-0.328,-0.3757,-0.6292,0.2972
"IFT81",-0.1053,-0.1463,-0.1499,-0.3067,-0.6167
"PBEF1",-1.1532,-1.012,-2.0008,-0.178,1.2405
"HSPC105",1.20925,1.517375,-2.304625,1.45675,0.964125
"DKFZp666G057",1.926,0.51975,2.453,1.9825,1.3205
"C20orf142",-0.444,-1.2355,0.00825000000000001,-0.95875,0.744
"NPY6R",0.32725,0.317,0.31575,0.17275,0.144
"DEPDC1",-2.19475,-1.7425,-2.643,-2.6635,-1.41575
"CTCFL",-6.1265,-4.6225,-6.244,-3.514,-4.3005
"SP2",0.2617,-0.1771,0.9271,0.5206,-0.0288
"KISS1R",1.561,0.486,0.364,-1.071,0.454
"SP3",0.97225,0.828125,0.643375,0.126375,0.684375
"PDIA5",0.0985,0.12925,-1.55475,-0.34025,0.329
"SP4",-0.1355,-0.5525,0.4565,0.133,-0.418
"DEPDC5",0.0565,0.937833333333333,1.27116666666667,0.835166666666667,1.12283333333333
"IGFBPL1",-0.6795,-0.99975,-1.2895,-0.98525,-0.60725
"ATG4C",-1.43133333333333,-0.608833333333333,-0.723,-0.4785,-1.1915
"ATG4B",-0.240375,-0.36875,-0.17325,-0.340375,-0.690625
"ATG4A",0.957833333333333,0.791333333333333,1.0795,0.585833333333333,0.914
"LOC158381",1.3555,0.317,1.277,0.5395,0.8125
"CREB5",-1.970375,-1.507875,-2.86975,0.1225,-1.09925
"ADAM9",-2.46,-0.64075,-0.196583333333333,0.3165,2.14891666666667
"ATG4D",0.4825,-0.3225,0.35675,-0.76775,-0.4195
"PHOX2A",1.88925,0.37375,0.653,-0.6605,0.32875
"PHOX2B",0.4825,0.221,0.172,0.396,-0.234
"TNRC4",0.9625,-0.6015,0.758666666666667,-0.072,-0.153166666666667
"TNRC5",0.151666666666667,0.128833333333333,0.1365,-0.326666666666667,-0.257833333333333
"LRGUK",1.07416666666667,0.307333333333333,-0.712333333333333,0.177833333333333,-1.12066666666667
"AIM2",-0.0243333333333333,0.6425,0.097,-0.465833333333333,1.588
"UPK2",0.29225,-0.35275,-0.821,0.033,0.05875
"C1orf19",0.177333333333333,0.0291666666666667,-1.48366666666667,-0.255666666666667,-0.0503333333333333
"CFI",-3.82983333333333,-0.644333333333333,-4.8735,0.905666666666667,-2.13566666666667
"CFD",-0.15675,0.69775,0.3065,1.83225,0.4395
"C1orf14",-0.00975,0.015,-0.345,-0.6425,-0.1295
"CFB",4.316375,4.216375,2.558625,2.065125,-0.8405
"OR5P3",0.666,0.2865,0.13,0.075,NA
"OR5P2",0.429,0.7945,0.3135,0.932,0.5205
"LHPP",0.9475,0.5894,-0.6949,0.9336,0.9853
"CDKAL1",-1.4445,-0.206,-0.3865,-0.1965,-0.4805
"BRF1",0.6458,-0.0856,0.4208,-0.308,-0.0521
"PNN",-0.6825,-1.4142,-0.6367,-1.2241,-1.0819
"PIB5PA",2.24123076923077,3.12546153846154,3.49423076923077,1.491,0.732
"ATP6V0E2",1.31783333333333,2.6305,2.1155,0.540666666666667,-0.0945
"RNF128",-3.731375,-2.54325,1.851125,0.406375,-1.733375
"CFP",0.3495,0.67525,0.1025,1.021,1.55125
"AAAS",-0.5605,-0.8815,-0.2075,-0.3795,-0.904
"HAMP",-1.525,-2.378,-2.8215,-1.852,-1.15925
"LTBP1",-3.984,-1.039,-2.971,-1.637,0.233
"SIDT1",2.50975,1.9305,3.186,2.6535,0.512
"SIDT2",0.0391666666666667,0.7855,0.383,0.775166666666667,0.602666666666667
"SIX4",0.615375,0.542125,2.255125,-0.456125,-0.630375
"SIX5",0.5335,0.643,-0.92075,0.549,-0.1765
"SIX6",-3.39025,-2.7585,-3.34975,-2.83275,-3.59675
"SAGE1",-2.9615,-2.098,-2.966,-1.6165,-1.8085
"MR1",1.2435,0.6615,0.272333333333333,-0.249166666666667,-0.610333333333333
"SIX2",0.43775,-0.86325,-0.614,-0.819,0.344
"SIX3",1.18683333333333,0.472333333333333,0.581333333333333,-0.132,0.518666666666667
"NAALAD2",-1.05,-0.991125,-1.878625,-0.23275,-1.266625
"PLCZ1",0.32075,0.57975,-0.359,-0.07675,-0.68475
"SYNJ1",-0.06875,-0.5775,-0.325125,-0.3885,0.008
"KNDC1",-0.862666666666667,-0.353833333333333,-0.622,-0.0293333333333333,-1.42216666666667
"HMG20A",-0.369166666666667,-0.615,-0.644166666666667,-0.344666666666667,-0.8095
"HMG20B",0.3645,0.7735,-0.1095,-0.1965,0.05025
"GLT8D2",0.623625,2.944625,-2.12375,2.914625,2.41175
"FBXO6",2.19016666666667,1.53566666666667,1.3995,0.265833333333333,1.52583333333333
"DYNC1I1",-2.231375,1.379875,0.714625,-0.104875,-1.1215
"C4orf18",4.294875,3.95725,5.00475,3.314125,2.68125
"C4orf19",-2.34225,-1.02325,-1.494,1.454,3.764
"C4orf14",-0.37775,0.632,-0.266,0.519,-0.395
"C4orf15",-0.06525,0.00600000000000001,0.7245,-0.27375,-0.39525
"C4orf16",0.1194,0.9135,1.4537,0.9625,-0.2322
"C4orf17",0.1595,0.354,-0.073,0.3195,0.372
"CDH26",-0.6915,-1.18383333333333,-0.403166666666667,-0.452,-0.120333333333333
"C4orf12",0.307625,0.747125,0.873375,0.501625,-0.489125
"UNQ9391",0.173,0.815,0.27,0.925,1.2615
"MRO",0.478666666666667,0.880166666666666,0.278666666666667,0.154333333333333,1.7055
"OR2T11",0.8545,0.139,0.684,0.169,0.642
"CHFR",-0.196,-0.7155,-0.34,-0.469875,0.4135
"EFHA1",0.47325,0.37025,0.00325,0.59375,0.01425
"EFHA2",-1.085125,-0.048125,-0.092625,1.175875,-0.758875
"SYPL1",1.1075,0.52025,-0.958125,0.66875,0.309625
"TIGD1",0.28525,-0.99225,-0.51725,-0.639,-0.07875
"NUDT9P1",-1.4685,0.554,-1.003,1.4815,-1.573
"INGX",-0.205666666666667,-0.1445,-0.365166666666667,0.327333333333333,0.0991666666666667
"NPR3",-1.6651,1.9777,-2.42,-0.9904,-0.0532
"NGFB",0.028,0.1415,-0.3075,0.225,0.1175
"RFX5",0.125333333333333,-0.234,0.331833333333333,-0.253333333333333,-0.504333333333333
"APP",0.6997,1.7356,0.5384,2.4791,1.3563
"NRXN3",3.71,0.567,3.899,1.7575,0.591
"C21orf45",0.160625,-0.7505,-0.728,-1.036,0.6515
"RFX2",-0.0658333333333333,0.653166666666667,2.31416666666667,0.738,-0.310833333333333
"RFX3",0.0298333333333333,0.984333333333333,0.172333333333333,0.140333333333333,-0.357333333333333
"RFPL2",-1.1895,-1.13225,-0.78575,-0.8655,-0.393
"NLRP13",2.787,-0.0575,0.294,0.119,-0.678
"APC",0.1265,0.52375,0.347125,0.731875,0.932125
"ABCE1",-1.09075,-0.5315,-0.7045,0.17925,0.27
"UQCRC2",0.72,-0.2205,0.09,0.1365,0.645
"XPNPEP1",-0.02725,-0.27675,-0.5635,0.213625,0.125625
"XPNPEP2",-0.125833333333333,0.182,0.146166666666667,0.347166666666667,0.606666666666667
"UQCRC1",0.35625,-0.0545,-0.5325,-0.137,0.33
"RUNDC2A",0.715666666666667,0.366333333333333,0.0261666666666667,-0.1185,-0.4205
"GGCX",-0.111125,1.2425,0.74175,0.4825,0.910125
"PAPLN",0.61,1.04066666666667,0.20125,0.562,0.93225
"ADNP",0.36475,-0.18525,0.27975,0.445,-0.28075
"ZNF57",-0.04725,-0.3115,0.41575,0.3085,0.28525
"KHDRBS1",0.0561,0.0488,0.161,-0.0199,-0.1004
"KHDRBS3",-0.90825,0.44925,-2.95775,0.311,-0.28
"KHDRBS2",-1.283,-0.576,-0.828,-1.3005,-1.937
"FLJ45717",1.193,0.38125,0.696,-0.69375,0.58875
"VPS37C",1.16083333333333,0.4805,1.97083333333333,0.806333333333333,0.235
"PRPH",-1.02525,0.34675,1.874,-0.24075,-0.3645
"FBXO9",0.336714285714286,0.0979285714285714,0.259,0.3425,-0.177928571428571
"DYNC1I2",0.8925,0.595125,-0.11975,0.51375,0.455
"ZNF395",-0.305125,0.821625,-1.3809375,0.0845,-0.9566875
"STAC3",0.758,0.111,-0.113,-0.104,0.245
"ZCCHC10",0.727,-0.365,-0.572,-0.335,-0.5455
"LHCGR",0.47,0.368,0.2035,-0.0105,-0.8225
"LOC389118",-0.055,0.083,-0.1625,0.00800000000000001,0.4085
"SPSB4",0.291,0.5185,0.418,-0.3355,0.607
"OR1Q1",0.1586,0.2045,0.2695,0.145333333333333,0.199833333333333
"TMEM127",1.17414285714286,1.43007142857143,1.20285714285714,0.94,1.16357142857143
"GPR78",1.4775,0.7045,1.075,-0.211,1.4485
"ZBED4",-0.566875,0.288125,-1.141125,0.243625,0.56
"C11orf2",0.2035,0.50425,0.1245,0.774,0.0325
"C11orf1",0.63525,-0.415,-0.8225,0.5035,-0.5925
"DPYSL5",0.013,-0.0855,0.0155,0.3185,-0.5215
"DPYSL2",-1.3735,0.0280909090909091,-2.10663636363636,0.558454545454546,-0.434818181818182
"DPYSL3",-0.797,0.333833333333333,-3.26283333333333,-0.232833333333333,0.992333333333333
"PTPRCAP",-0.34575,-0.31725,-0.9895,-0.404,0.595
"GPR17",0.288,0.558,0.572,0.0405,-0.0095
"KRTAP10-10",0.113,0.0245,0.9785,0.008,0.648
"IGFBP2",-0.868,0.0911666666666667,-0.809333333333333,-0.549,-0.467333333333333
"IGFBP3",-3.13157142857143,-1.63292857142857,-2.59021428571429,-2.55785714285714,-2.90307142857143
"LRFN1",1.0065,0.410333333333333,0.653,-0.362833333333333,0.402833333333333
"IGFBP1",-8.667,-8.510125,-8.69,-7.937625,-8.371
"IGFBP6",-1.44433333333333,-0.25,-0.283666666666667,0.146666666666667,-1.4945
"MRGPRF",-0.767375,0.499375,-1.328,0.54125,0.489875
"IGFBP4",-0.0186666666666667,0.516166666666667,0.4895,0.991833333333333,-0.414666666666667
"IGFBP5",1.81373913043478,3.18621739130435,0.398826086956522,0.76204347826087,1.23426086956522
"PPM2C",1.4805,2.0115,0.087,2.38725,1.737
"TTC4",-0.851333333333333,0.242333333333333,0.289166666666667,-0.296666666666667,-0.777166666666667
